SN,Name,Email,Phone,Address,Nationality,Gender,Education,Preferred mode of contact,Date Of Birth,Created On
1,"Sean Valencia",lohoti@mailinator.com,54,"Minima eius sint per","Molestias commodi un",female,"Quia non est ipsum",none,1985-10-11,2021-08-06
2,"Quynn Jackson",jetop@mailinator.com,44,"Voluptatibus volupta","Neque sint tenetur s",female,"Quod hic totam nobis",email,2007-02-15,2021-08-06
3,"Noelani Goff",fynoler@mailinator.com,24,"Proident ut invento",bbbb,male,"Dolor omnis odio nul",email,1984-07-26,2021-08-06
4,"David Noel",wysudabel@mailinator.com,54,"Commodi eos neque s","Officiis blanditiis",female,"Blanditiis quia erro",email,2017-12-13,2021-08-10
5,"Wilma Odom",qebonys@mailinator.com,62,"Ipsum enim sit cum","Eius et nobis repreh",male,"Ex officia quod eu p",phone,1997-09-13,2021-08-10
6,"Sonya Anthony",xyruruf@mailinator.com,49,"Error quas aperiam v","Atque rerum numquam",female,"Tempor minim sed pla",email,2019-10-17,2021-08-10
7,"Stone Wall",sato@mailinator.com,8,"Officia ex eos ab do","Nulla qui amet quae",male,"Omnis nihil id conse",email,2009-05-30,2021-08-10
8,"Britanni Gentry",hycyjuse@mailinator.com,41,"Voluptatem Aliqua","Debitis ea animi vo",male,"Aut consequat Cupid",Phone,1980-01-19,2021-08-12
9,"Maggie Butler",gazemeso@mailinator.com,9845590200,"At nostrud officiis","Velit impedit ex te",male,"Perferendis placeat",None,1986-06-23,2021-08-12
10,"Laith Carver",naconop@mailinator.com,9854580203,"Ut consequuntur beat","In at et consectetur",female,"Quia qui sed nostrum",Email,1982-06-08,2021-08-12
